,Movie name,Rating,Genres,Release_date,Runtime,Director,Url
149,All Hail (2022),62.0,"Comedy,Drama",03/30/2022,              1h 58m          ,Marcos Carnevale,https://www.themoviedb.org/movie/682344-granizo
150,Save The Trees (2021),44.0,Animation,12/01/2021,              1h 20m          ,"Haizea Pastor , Iker Alvarez",https://www.themoviedb.org/movie/886896-salvar-el-arbol
151,The Last: Naruto the Movie (2014),78.0,"Action,Romance,Animation",12/06/2014,              1h 54m          ,Tsuneo Kobayashi,https://www.themoviedb.org/movie/317442-the-last-naruto-the-movie
152,The Amazing Spider-Man (2012),67.0,"Action,Adventure,Fantasy",06/29/2012,              2h 16m          ,Marc Webb,https://www.themoviedb.org/movie/1930-the-amazing-spider-man
153,Jurassic World Dominion (2022),0.0,"Adventure,Action,Science Fiction,Thriller",06/10/2022,              2h 26m          ,Colin Trevorrow,https://www.themoviedb.org/movie/507086-jurassic-world-dominion
154,Riverdance: The Animated Adventure (2021),53.0,"Animation,Fantasy,Music,Adventure,Comedy,Family",01/14/2022,              1h 26m          ,"Dave Rosenbaum , Eamonn Butler",https://www.themoviedb.org/movie/756403-riverdance-the-animated-adventure
155,¿Y cómo es él? (2022),63.0,Comedy,04/07/2022,              1h 35m          ,Ariel Winograd,https://www.themoviedb.org/movie/671318-y-como-es-el
156,Ciao Alberto (2021),75.0,"Animation,Comedy,Family,Fantasy",11/12/2021,              7m          ,McKenna Jean Harris,https://www.themoviedb.org/movie/876716-ciao-alberto
157,Tarumama (2021),48.0,"Horror,Drama",07/29/2021,              1h 30m          ,Andres Beltran,https://www.themoviedb.org/movie/775943-llanto-maldito
158,Fantastic Beasts and Where to Find Them (2016),73.0,"Adventure,Fantasy",11/18/2016,              2h 12m          ,David Yates,https://www.themoviedb.org/movie/259316-fantastic-beasts-and-where-to-find-them
159,The Tomorrow War (2021),80.0,"Action,Science Fiction,Adventure",07/02/2021,              2h 18m          ,Chris McKay,https://www.themoviedb.org/movie/588228-the-tomorrow-war
