,Movie name,Overview,Release_date,Rating,Genres,Runtime,Director,Language,Certification,Budget,Revenue,Url
1845,The Ring Two (2005),Rachel Keller must prevent evil Samara from taking possession of her son's soul.,03/18/2005,57.0,"Drama,Horror,Thriller", 1h 50m,Hideo Nakata,English,PG-13,"$50,000,000.00","$161,451,538.00",https://www.themoviedb.org/movie/10320-the-ring-two
1846,Piranha (1978),"When flesh-eating piranhas are accidently released into a summer resort's rivers, the guests become their next meal.",08/03/1978,59.0,"Horror,Comedy", 1h 34m,Joe Dante,English,R,"$660,000.00","$16,000,000.00",https://www.themoviedb.org/movie/24831-piranha
1847,3096 Days (2013),A young Austrian girl is kidnapped and held in captivity for eight years. Based on the real-life case of Natascha Kampusch.,02/28/2013,75.0,Drama, 1h 51m,Sherry Hormann,German,18,-,"$6,677,474.00",https://www.themoviedb.org/movie/166666-3096-tage
1848,AVP: Alien vs. Predator (2004),"When scientists discover something in the Arctic that appears to be a buried Pyramid, they send a research team out to investigate. Little do they know that they are about to step into a hunting ground where Aliens are grown as sport for the Predator race.",10/01/2004,59.0,"Adventure,Science Fiction,Action,Horror", 1h 41m,Paul W. S. Anderson,English,PG-13,"$70,000,000.00","$177,427,090.00",https://www.themoviedb.org/movie/395-avp-alien-vs-predator
1849,21 (2008),"Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack.",03/27/2008,67.0,"Drama,Crime"," 2h 3m
",Robert Luketic,English,PG-13,"$35,000,000.00","$159,808,370.00",https://www.themoviedb.org/movie/8065-21
1850,City of God (2002),"Buscapé was raised in a very violent environment. Despite the feeling that all odds were against him, he finds out that life can be seen with other eyes...",01/18/2007,84.0,"Drama,Crime", 2h 10m,Fernando Meirelles,Portuguese,A,"$3,300,000.00","$30,641,770.00",https://www.themoviedb.org/movie/598-cidade-de-deus
1851,Leprechaun 2 (1994),"A thousand years ago, the Leprechaun left a bloody trail when he ripped through the countryside in search of his stolen gold. Now he's back in the big city using all of his deadly tricks to snare the girl of his nightmares. His bloody quest becomes more deadly when her boyfriend steals one of the Leprechaun's gold coins. The town soon discovers two dead bodies and a trail of gold dust leads them to the Leprechaun's lair.",04/08/1994,56.0,"Comedy,Horror", 1h 25m,Rodman Flender,English,R,"$2,000,000.00","$2,260,622.00",https://www.themoviedb.org/movie/18009-leprechaun-2
1852,Dragon Ball: Plan to Eradicate the Super Saiyans (2010),"Dr. Raichi is one of the only survivors of the Tuffles, a race that once lived on Planet Plant before the coming of the Saiyans. The Saiyans not only massacred the entire Tuffle race, but also stole their technology and conquered the planet, renaming it Planet Vegeta in honor of their king. Raichi managed to escape with a capsule and found refuge on the Dark Planet, a world at the end of the universe. His only wish is to eradicate the last remaining Saiyans.",11/11/2010,71.0,"Action,Animation,Adventure"," 30m
  ",Yoshihiro Ueda,Japanese,PG,-,-,https://www.themoviedb.org/movie/89636
1853,Hole in One (2009),"Eric, a highly-gifted golfer but radically-undisciplined college undergrad, finds his world drastically altered after losing a golf bet to a pair of sadistic plastic surgeons. Eric's bad-boy attitude lifestyle comes to a screeching halt as he loses his money, his girlfriend, his dignity and his golf swing. Eric and his best friend Tyler decide to take on the doctors, in a final golf match of ""Best-Ball"" to get his life back and become the man he should have been all along.",09/12/2009,41.0,Comedy, 1h 35m,Drew Ann Rosenberg,English,R,-,-,https://www.themoviedb.org/movie/45781-hole-in-one
1854,Saw V (2008),"Detective Hoffman is seemingly the last person alive to carry on the Jigsaw legacy. But when his secret is threatened, he must go on the hunt to eliminate all the loose ends.",10/24/2008,62.0,"Horror,Thriller,Crime", 1h 35m,David Hackl,English,R,"$10,800,000.00","$113,864,059.00",https://www.themoviedb.org/movie/11917-saw-v
